


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.5.4     Platform:  V1.1.0 (b8)     Uptime:    0.000 s
Compiled:   Dec 15 2021 20:20:32     Directory:  ics/VEX/tippingpoint-B


X: 0.012811, Y: 0.391124, A: -3.203572
X: 0.093756, Y: 1.100924, A: -9.053572
X: 0.234414, Y: 1.755051, A: -14.532143
X: 0.436885, Y: 2.392761, A: -20.010718
X: 0.696812, Y: 3.003134, A: -25.442864
X: 1.013354, Y: 3.586160, A: -30.875013
X: 1.393923, Y: 4.150186, A: -36.446446
X: 1.831306, Y: 4.678767, A: -42.064311
X: 2.309860, Y: 5.154444, A: -47.589312
X: 2.841148, Y: 5.588532, A: -53.207174
X: 3.422164, Y: 5.974269, A: -58.917888
X: 4.038682, Y: 6.300278, A: -64.628602
X: 4.684580, Y: 6.563323, A: -70.339317
X: 5.358972, Y: 6.762087, A: -76.096456
X: 6.049900, Y: 6.892199, A: -81.853602
X: 6.750394, Y: 6.952342, A: -87.610741
X: 7.442068, Y: 6.942718, A: -93.275030
X: 8.129415, Y: 6.864868, A: -98.939327
X: 8.811194, Y: 6.718061, A: -104.650034
X: 9.469688, Y: 6.506179, A: -110.314331
X: 10.109119, Y: 6.227788, A: -116.025038
X: 10.712888, Y: 5.890194, A: -121.689341
X: 11.284853, Y: 5.491157, A: -127.400049
X: 11.814273, Y: 5.037185, A: -133.110770
X: 12.328793, Y: 4.493725, A: -139.239335
X: 12.760203, Y: 3.931415, A: -145.042906
X: 13.129839, Y: 3.333351, A: -150.800045
X: 13.439806, Y: 2.695994, A: -156.603602
X: 13.682088, Y: 2.035986, A: -162.360768
X: 13.858036, Y: 1.349438, A: -168.164325
X: 13.964183, Y: 0.642967, A: -174.014314
X: 13.997827, Y: -0.064971, A: -179.817885
X: 13.959712, Y: -0.772682, A: -185.621456
X: 13.851422, Y: -1.467364, A: -191.378608
X: 13.675731, Y: -2.142277, A: -197.089316
X: 13.431486, Y: -2.801561, A: -202.846455
X: 13.122341, Y: -3.433019, A: -208.603594
X: 12.748148, Y: -4.034923, A: -214.407165
X: 12.315009, Y: -4.595905, A: -220.210736
X: 11.819097, Y: -5.117983, A: -226.107156
X: 11.276688, Y: -5.582915, A: -231.957158
X: 10.699391, Y: -5.984209, A: -237.714298
X: 10.079641, Y: -6.328036, A: -243.517855
X: 9.433630, Y: -6.605496, A: -249.275021
